company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Apple
Amazon,Software Engineer,196000,"Seattle, WA",4.0,4.0,134000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,275000,"Seattle, WA",10.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,265000,"Boston, MA",9.0,2.0,140000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,175000,"Herndon, VA",5.0,1.0,135000.0,20000.0,0,0,0,0,0,False
Amazon,Solution Architect,250000,"Denver, CO",14.0,0.0,160000.0,44000.0,0,0,0,0,0,False
Amazon,Software Engineer,197000,"New York, NY",3.0,1.0,145000.0,9000.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"Seattle, WA",7.0,7.0,137000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,330000,"Seattle, WA",8.0,1.0,160000.0,150000.0,0,0,0,0,0,False
Amazon,Software Engineer,165000,"Seattle, WA",2.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Solution Architect,128000,"Seattle, WA",2.0,1.0,103000.0,20000.0,0,0,0,0,0,False
Amazon,Product Manager,215000,"Seattle, WA",20.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,350000,"Seattle, WA",6.0,6.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,175000,"Palo Alto, CA",3.0,0.0,150000.0,5000.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,350000,"Seattle, WA",6.0,6.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,168000,"Seattle, WA",2.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,218000,"Seattle, WA",5.0,4.0,138000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,200000,"Seattle, WA",6.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,110000,"Seattle, WA",10.0,10.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,172000,"Sunnyvale, CA",10.0,0.8,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,145000,"Seattle, WA",5.0,1.0,114000.0,24000.0,0,0,0,0,0,False
Amazon,Product Manager,145000,"Seattle, WA",12.0,3.0,145000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,165000,"Seattle, WA",7.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,205000,"Chicago, IL",6.0,4.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,155000,"Seattle, WA",0.0,0.0,106000.0,18000.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,260000,"Seattle, WA",11.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,190000,"Seattle, WA",2.0,2.0,130000.0,10000.0,0,0,0,0,0,False
Amazon,Product Manager,217000,"Seattle, WA",10.0,4.5,121000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,265000,"Palo Alto, CA",4.0,1.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,220000,"Seattle, WA",11.0,2.0,160000.0,30000.0,0,0,0,0,0,False
Amazon,Software Engineer,248000,"Sunnyvale, CA",2.0,0.0,163000.0,33000.0,0,0,0,0,0,False
Amazon,Software Engineer,145000,"Seattle, WA",0.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,151000,"Seattle, WA",0.0,1.0,108000.0,25000.0,0,0,0,0,0,False
Amazon,Software Engineer,219000,"Seattle, WA",12.0,0.0,145000.0,18000.0,0,0,0,0,0,False
Amazon,Software Engineer,330000,"Seattle, WA",6.0,6.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,285000,"Seattle, WA",5.0,5.0,125000.0,10000.0,0,0,0,0,0,False
Amazon,Software Engineer,155000,"Seattle, WA",5.0,0.0,155000.0,50000.0,0,0,0,0,0,False
Amazon,Product Manager,165000,"Dublin, DN, Ireland",15.0,0.0,125000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,165000,"San Francisco, CA",1.0,1.0,120000.0,20000.0,0,0,0,0,0,False
Amazon,Product Manager,155000,"Seattle, WA",3.0,1.0,100000.0,10000.0,0,0,0,0,0,False
Amazon,Product Manager,165000,"Seattle, WA",10.0,2.0,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,232000,"Seattle, WA",4.0,0.0,0.0,0.0,0,0,0,0,0,False
Amazon,Software Engineering Manager,600000,"Seattle, WA",15.0,6.0,160000.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,385000,"Seattle, WA",15.0,3.0,160000.0,25000.0,0,0,0,0,0,False
Amazon,Technical Program Manager,254000,"Sunnyvale, CA",6.0,4.5,0.0,0.0,0,0,0,0,0,False
Amazon,Product Manager,245000,"New York, NY",4.0,4.0,134000.0,0.0,0,0,0,0,0,False
Amazon,Software Engineer,250000,"Seattle, WA",5.0,1.0,145000.0,40000.0,0,0,0,0,0,False
Amazon,Software Engineer,170000,"Bellevue, WA",0.0,0.0,112000.0,36000.0,0,0,0,0,0,False
