company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,basesalary,bonus,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Amazon
Apple,Software Engineer,275000,"Vancouver, BC, Canada",12.0,1.0,165000.0,60000.0,0,0,0,0,0,False
Apple,Software Engineer,305000,"Cupertino, CA",7.0,5.0,180000.0,25000.0,0,0,0,0,0,False
Apple,Product Manager,280000,"Cupertino, CA",12.0,2.0,163000.0,17000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"Cupertino, CA",11.0,0.0,190000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,178000,"Cupertino, CA",0.0,0.0,125000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,135000,"Cupertino, CA",5.0,2.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,152000,"Cupertino, CA",1.0,0.0,115000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,212000,"Cupertino, CA",4.0,4.0,140000.0,12000.0,0,0,0,0,0,False
Apple,Software Engineer,300000,"Haifa, HA, Israel",15.0,4.0,145000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,377000,"Sunnyvale, CA",10.0,4.0,172000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,200000,"London, EN, United Kingdom",5.0,0.0,140000.0,15000.0,0,0,0,0,0,False
Apple,Software Engineer,195000,"San Francisco, CA",3.0,3.0,120000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,170000,"Shanghai, SH, China",10.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,303000,"Cupertino, CA",13.0,7.0,200000.0,18000.0,0,0,0,0,0,False
Apple,Software Engineer,206000,"Cupertino, CA",1.0,0.0,145000.0,35000.0,0,0,0,0,0,False
Apple,Software Engineer,320000,"Cupertino, CA",8.0,3.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,213000,"Cupertino, CA",4.0,0.0,140000.0,35000.0,0,0,0,0,0,False
Apple,Software Engineer,303000,"Cupertino, CA",6.0,1.0,164000.0,14000.0,0,0,0,0,0,False
Apple,Software Engineer,135000,"Cupertino, CA",5.0,2.0,115000.0,5000.0,0,0,0,0,0,False
Apple,Software Engineer,350000,"Cupertino, CA",10.0,7.0,175000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,450000,"Cupertino, CA",15.0,3.0,225000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,337000,"Cupertino, CA",18.0,2.0,197000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,280000,"Cupertino, CA",9.0,1.0,200000.0,7000.0,0,0,0,0,0,False
Apple,Software Engineer,175000,"Sunnyvale, CA",3.0,1.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,280000,"Sunnyvale, CA",16.0,0.0,190000.0,50000.0,0,0,0,0,0,False
Apple,Software Engineer,146000,"Cupertino, CA",5.0,4.0,104000.0,12000.0,0,0,0,0,0,False
Apple,Software Engineer,397000,"Cupertino, CA",12.0,7.0,209000.0,27000.0,0,0,0,0,0,False
Apple,Software Engineer,205000,"Cupertino, CA",0.0,0.0,125000.0,50000.0,0,0,0,0,0,False
Apple,Software Engineer,272000,"Sunnyvale, CA",12.0,0.0,190000.0,19000.0,0,0,0,0,0,False
Apple,Recruiter,170000,"Cupertino, CA",10.0,2.0,165000.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,325000,"Seattle, WA",3.0,3.0,171000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,900000,"Cupertino, CA",18.0,11.0,225000.0,100000.0,0,0,0,0,0,False
Apple,Software Engineer,215000,"Cupertino, CA",3.0,3.0,140000.0,20000.0,0,0,0,0,0,False
Apple,Data Scientist,230000,"Cupertino, CA",1.0,4.0,136000.0,16000.0,0,0,0,0,0,False
Apple,Software Engineer,335000,"Cupertino, CA",13.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,206000,"Cupertino, CA",0.0,0.0,160000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,220000,"Cupertino, CA",3.0,3.0,130000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,220000,"Sunnyvale, CA",2.0,0.0,160000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,380000,"San Francisco, CA",7.0,3.0,180000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,224000,"Cupertino, CA",4.0,0.0,165000.0,16000.0,0,0,0,0,0,False
Apple,Software Engineer,285000,"Cupertino, CA",10.0,6.0,185000.0,35000.0,0,0,0,0,0,False
Apple,Software Engineer,330000,"Cupertino, CA",8.0,4.0,170000.0,30000.0,0,0,0,0,0,False
Apple,Software Engineer,321000,"Sunnyvale, CA",14.0,5.0,176000.0,21000.0,0,0,0,0,0,False
Apple,Software Engineer,354000,"Cupertino, CA",21.0,17.0,200000.0,24000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,400000,"Cupertino, CA",10.0,4.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,181000,"Cupertino, CA",3.0,2.0,133000.0,13000.0,0,0,0,0,0,False
Apple,Software Engineer,255000,"Sunnyvale, CA",2.0,2.0,145000.0,12000.0,0,0,0,0,0,False
Apple,Software Engineer,400000,"Cupertino, CA",14.0,4.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,550000,"Cupertino, CA",24.0,2.0,224000.0,36000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,390000,"Cupertino, CA",13.0,9.0,202000.0,28000.0,0,0,0,0,0,False
Apple,Product Manager,265000,"Sunnyvale, CA",12.0,3.0,185000.0,25000.0,0,0,0,0,0,False
Apple,Software Engineer,180000,"Sunnyvale, CA",3.0,2.0,135000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,500000,"Cupertino, CA",4.0,4.0,210000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,130000,"Cupertino, CA",0.0,0.0,110000.0,10000.0,0,0,0,0,0,False
Apple,Product Manager,340000,"Sunnyvale, CA",16.0,5.0,172000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,250000,"Sunnyvale, CA",12.0,3.5,170000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,250000,"Sunnyvale, CA",12.0,3.5,180000.0,20000.0,0,0,0,0,0,False
Apple,Product Manager,180000,"Cupertino, CA",5.0,5.0,130000.0,10000.0,0,0,0,0,0,False
Apple,Software Engineer,185000,"Sunnyvale, CA",1.0,1.0,135000.0,24000.0,0,0,0,0,0,False
Apple,Hardware Engineer,287000,"Cupertino, CA",7.0,4.0,165000.0,22000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,430000,"Cupertino, CA",10.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,247000,"Sunnyvale, CA",1.0,1.0,120000.0,7000.0,0,0,0,0,0,False
Apple,Software Engineering Manager,420000,"Cupertino, CA",13.0,9.0,202000.0,38000.0,0,0,0,0,0,False
Apple,Hardware Engineer,240000,"Cupertino, CA",5.0,5.0,0.0,0.0,0,0,0,0,0,False
Apple,Software Engineer,224000,"Cupertino, CA",7.0,4.0,135000.0,20000.0,0,0,0,0,0,False
Apple,Software Engineer,188000,"Cupertino, CA",1.0,1.0,120000.0,40000.0,0,0,0,0,0,False
Apple,Software Engineer,240000,"Cupertino, CA",4.0,1.0,165000.0,30000.0,0,0,0,0,0,False
